CPAQuestions,AnswerText,SelectedOptionId,OptionText,FormCategoryId,FirmId,Category Name,FormTypeID
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,1,Yes,1837,2629,529/Coverdell Year End Statement ,0
"Did you pay real estate taxes during the year (not including amounts paid through mortgage escrow)?  If yes and you anticipate itemizing deductions, please provide the amount of real estate taxes paid during the year.",NULL,1,Yes,1883,2131,1099-G Unemployment Compensation,0
Did you or your spouse have a Health Savings Account (HSA)?,NULL,1,Yes,1844,1928,Rental Income & Expenses (Per Property),0
Did you purchase rental or royalty property?,NULL,1,Yes,1852,1574,Form 8332,0
"Did you or your spouse receive any gambling winnings in 2023?  If yes, please provide any Forms W-2G received.",NULL,3,N/A,1835,1141,Cancelled/Forgiven Debt (1099-C),0
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",NULL,1,Yes,1895,2544,Loan Closing Statement,0
"Did you or your spouse contribute property (other than cash) with a fair market value of more than $5,000 to a charitable organization?",NULL,3,N/A,1887,1913,State and Local Notices,0
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",NULL,3,N/A,1863,1437,Unreimbursed Business Expenses,0
Did you earn income from a non-US employer?,NULL,1,Yes,3155,2571,December Statement from CollegeInvest or other 529 plan provider,0
"Did you, your spouse, or a dependent  obtain healthcare coverage through the Marketplace and receive Form 1095-A?",NULL,3,N/A,1859,484,Business auto usage,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,2,No,1260,2011,Non-Cash Contributions,20433
Did you obtain healthcare coverage through the Marketplace?,NULL,3,N/A,1859,1488,Business auto usage,0
"Did you incur unreimbursed moving expenses? Only applicable for residents moving to the following states: Arkansas, California, Hawaii, Massachusetts, New Jersey, New York and Pennsylvania. ",NULL,2,No,1841,994,IRS/State Notices,0
 Include Form(s) 1098-T,NULL,1,Yes,1864,528,PPP Loan Details,0
"Medical Expenses - Did you receive any distributions from a health savings account (HSA), Archer MSA, or Medicare Advantage (MSA) this year?",NULL,2,No,1844,2680,Rental Income & Expenses (Per Property),0
Please provide documentation or amounts paid per quarter.,NULL,1,Yes,1895,2542,Loan Closing Statement,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,1,Yes,1841,2708,IRS/State Notices,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,2,No,1837,653,529/Coverdell Year End Statement ,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,1,Yes,1841,1315,IRS/State Notices,0
Did you purchase or sell your primary residence?,NULL,1,Yes,1837,2441,529/Coverdell Year End Statement ,0
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",NULL,2,No,1850,2061,1098-T (Education),0
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",NULL,2,No,1854,2629,1099-G,0
Did you or your spouse receive any distributions from long-term care insurance contracts?,NULL,2,No,1854,484,1099-G,0
"If applicable, did you or your spouse receive unemployment compensation?",NULL,3,N/A,1831,2295,Contracts,0
"Did you or your spouse have any interest in or a signature authority over a bank account, securities account or other financial account in a foreign country? ",NULL,1,Yes,1890,1574,ABLE Account 1099QA / 5498-QA,0
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income (interest, dividends, capital gains)  in excess of $2,300?   If yes, child's income may be subject to ""Kiddie Tax.""  Please upload support for the child's income in the ""Document Request List.""  ",NULL,2,No,1834,725,"New Income Source (W2, 1099, K1)",0
"Did you or your spouse receive payment from an IRA, pension or profit sharing plan in 2023?",NULL,1,Yes,1851,1413,Foreign Bank Account,0
Did you purchase or sell your primary residence?,NULL,2,No,1837,1930,529/Coverdell Year End Statement ,0
Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,NULL,2,No,1833,1574,Energy Efficient Improvements (Manufacturer's Certificate Statement/Receipt of purchase) ,0
Did you or your spouse pay any student loan interest this year?,NULL,1,Yes,1845,507,Unemployment (1099-G),0
"Did you hold non-US financial assets; trusts, mutual funds, bank accounts, brokerage or pension accounts (including RRSP, PE, etc.) outside of your US-based brokerage accounts that the aggregate total amounts exceeded $10,000 USD at any time during the year?",NULL,1,Yes,1889,1033,529 Contribution Documentation,0
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",NULL,2,No,1841,1768,IRS/State Notices,0
Did you or y our spouse contribute to a Roth IRA or convert an existing IRA into a Roth IRA?,NULL,2,No,1838,2496,Electric Vehicle (Manufacturer's certification and bill of sale),0
"If you have a spouse, do they have a state issued driver license or ID? This is required for ID verification when it comes time to e-file your tax return.",NULL,3,N/A,3002,1570,Sch H Estimate Payments,0
Did you or your spouse pay any student loan interest this year?,NULL,1,Yes,1845,2315,Unemployment (1099-G),0
Did you purchase or sell your primary residence?,NULL,1,Yes,1837,459,529/Coverdell Year End Statement ,0
"Did you earn interest in a Savings account or sell any Savings Bonds? If so, please provide the 1099 in the document section. ",NULL,3,N/A,1849,2306,Estimated Tax Payments,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,2,No,1837,2627,529/Coverdell Year End Statement ,0
"Did you sell, exchange, or purchase any other real estate during the year?",NULL,3,N/A,1854,1437,1099-G,0
"Did you, your spouse, or any dependent receive healthcare coverage this year?",NULL,1,Yes,1859,2066,Business auto usage,0
"Did the account(s), at any time in 2023, have more than a $10,000 USD balance, combined? If yes, please provide details in the document section. ",NULL,1,Yes,1889,2306,529 Contribution Documentation,0
