CPAQuestions,SelectedOptionId,FormCategoryId,Category Name
"Did you sell, exchange, or purchase any other real estate during the year?",1,1837,529/Coverdell Year End Statement 
"Did you pay real estate taxes during the year (not including amounts paid through mortgage escrow)?  If yes and you anticipate itemizing deductions, please provide the amount of real estate taxes paid during the year.",1,1883,1099-G Unemployment Compensation
Did you or your spouse have a Health Savings Account (HSA)?,1,1844,Rental Income & Expenses (Per Property)
Did you purchase rental or royalty property?,1,1852,Form 8332
"Did you or your spouse receive any gambling winnings in 2023?  If yes, please provide any Forms W-2G received.",3,0,Not Required
"Did you pay estimated taxes for tax year 2023? If yes, please upload documentation of the estimated tax payments.",1,1895,Loan Closing Statement
"Did you or your spouse contribute property (other than cash) with a fair market value of more than $5,000 to a charitable organization?",3,0,Not Required
"Did you or your spouse pay for child care while you worked, looked for work, or were a full-time student?",3,0,Not Required
Did you earn income from a non-US employer?,1,3155,December Statement from CollegeInvest or other 529 plan provider
"Did you, your spouse, or a dependent  obtain healthcare coverage through the Marketplace and receive Form 1095-A?",3,0,Not Required
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
Did you obtain healthcare coverage through the Marketplace?,3,0,Not Required
"Did you incur unreimbursed moving expenses? Only applicable for residents moving to the following states: Arkansas, California, Hawaii, Massachusetts, New Jersey, New York and Pennsylvania. ",2,0,Not Required
 Include Form(s) 1098-T,1,1864,PPP Loan Details
"Medical Expenses - Did you receive any distributions from a health savings account (HSA), Archer MSA, or Medicare Advantage (MSA) this year?",2,0,Not Required
Please provide documentation or amounts paid per quarter.,1,1895,Loan Closing Statement
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",1,1841,IRS/State Notices
"Did you sell, exchange, or purchase any other real estate during the year?",2,0,Not Required
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",1,1841,IRS/State Notices
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
"Did you start a business or farm, purchase rental or royalty property, or acquire an interest in a partnership, S corporation, trust, or REMIC?",2,0,Not Required
"Did you or your spouse make any large retail purchases (cars, boats, etc.)?",2,0,Not Required
Did you or your spouse receive any distributions from long-term care insurance contracts?,2,0,Not Required
"If applicable, did you or your spouse receive unemployment compensation?",3,0,Not Required
"Did you or your spouse have any interest in or a signature authority over a bank account, securities account or other financial account in a foreign country? ",1,1890,ABLE Account 1099QA / 5498-QA
"Did you have any children that were under age 19 or were a full-time student under age 24 that had unearned income (interest, dividends, capital gains)  in excess of $2,300?   If yes, child's income may be subject to ""Kiddie Tax.""  Please upload support for the child's income in the ""Document Request List.""  ",2,0,Not Required
"Did you or your spouse receive payment from an IRA, pension or profit sharing plan in 2023?",1,1851,Foreign Bank Account
Did you purchase or sell your primary residence?,2,0,Not Required
Did you or your spouse withdraw any amounts from a Coverdell Education Savings Account or Qualified Education Program (Section 529) plan?,2,0,Not Required
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
"Did you hold non-US financial assets; trusts, mutual funds, bank accounts, brokerage or pension accounts (including RRSP, PE, etc.) outside of your US-based brokerage accounts that the aggregate total amounts exceeded $10,000 USD at any time during the year?",1,1889,529 Contribution Documentation
"Did you incur moving expenses? If yes, please upload documentation of the expenses incurred related to the relocation.",2,0,Not Required
Did you or y our spouse contribute to a Roth IRA or convert an existing IRA into a Roth IRA?,2,0,Not Required
"If you have a spouse, do they have a state issued driver license or ID? This is required for ID verification when it comes time to e-file your tax return.",3,0,Not Required
Did you or your spouse pay any student loan interest this year?,1,1845,Unemployment (1099-G)
Did you purchase or sell your primary residence?,1,1837,529/Coverdell Year End Statement 
"Did you earn interest in a Savings account or sell any Savings Bonds? If so, please provide the 1099 in the document section. ",3,0,Not Required
