Question,SelectedOptionId,TC Category Code
You said moved last year. Was this military service related? ,Yes,TC.MOV
"You indicated retirement contributions or distributions for this year. Did you or your spouse receive payment from retirement, or severance compensation?",No,NOT REQUIERED
"You indicated retirement contributions or distributions for this year. Did you or your spouse receive payment from retirement, or severance compensation?",Yes,TC.IRA
"You indicated retirement contributions or distributions for this year, you will receive a new tax document called 1099-R",N/A,NOT REQUIERED
"You indicated retirement contributions or distributions for this year, you will receive a new tax document called 1099-R",No,NOT REQUIERED
"You indicated retirement contributions or distributions for this year, you will receive a new tax document called 1099-R",Yes,TC.IRA
"You indicated retirement contributions or distributions for this year, did you or your spouse receive deferred, retirement, or severance compensation?",No,NOT REQUIERED
"You indicated retirement contributions or distributions for this year, did you or your spouse receive deferred, retirement, or severance compensation?",Yes,TC.IRA
"You indicated retirement contributions or distributions for this year, did you or your spouse receive deferred, retirement, or severance compensation?",N/A,NOT REQUIERED
You indicated a move this year. Was your move military service related?,No,NOT REQUIERED
You indicated a move this year. Was your move military service related?,Yes,TC.MOV
"You indicated a move this year. Was your move due to a military order?  If yes, please upload documentation of the expenses incurred related to the relocation.",No,NOT REQUIERED
"You indicated a move this year, please specify if your move was military service related. If so, please upload moving expenses.",No,NOT REQUIERED
"You indicated a job change this year, please upload W2 associated with new job if applicable. ",Yes,TC.WAG
"You indicated a job change this year, please upload W2 associated with new job if applicable. ",N/A,NOT REQUIERED
"You indicated a job change this year, please share with us your new Form W2. ",N/A,NOT REQUIERED
"You indicated a job change this year, please share with us your new Form W2. ",Yes,TC.WAG
"You indicated a job change this year, please share with us your new Form W2. ",No,NOT REQUIERED
"You indicated a job change this year, do you or your spouse have a new place of employment? If yes, please upload W2 of new employer. ",Yes,TC.WAG
"You indicated a job change this year, do you or your spouse have a new place of employment? If yes, a request to upload the new W2 will appear in the ""Documents"" section of TaxCaddy. ",Yes,TC.WAG
"You indicated a job change this year, do you or your spouse have a new place of employment? If yes, a request to upload the new W2 will appear in the ""Documents"" section of TaxCaddy. ",No,NOT REQUIERED
"You indicated a job change this year, do you or your spouse have a new place of employment? If yes, a request to upload the new W2 will appear in the ""Documents"" section of TaxCaddy. ",N/A,NOT REQUIERED
"You indicated a job change this year, did you receive a W-2 from a new employer?",No,NOT REQUIERED
"You indicated a job change this year, did you receive a W-2 from a new employer?",Yes,TC.WAG
"You indicated a job change this year, did you receive a W-2 from a new employer?",N/A,NOT REQUIERED
"You indicated a job change this year, did either you or your spouse start a new job?",Yes,TC.WAG
"You indicated a job change this year, did either you or your spouse start a new job?",N/A,NOT REQUIERED
"You indicated a job change this year, did either you or your spouse start a new job?",No,NOT REQUIERED
"Were you, your spouse or dependent/qualifying individual issued an Identity Protection Personal Identification Number (IP PIN) by the IRS?  If yes, please provide the notice with your assigned IP PIN.  ",No,NOT REQUIERED
"Were you, your spouse or dependent/qualifying individual issued an Identity Protection Personal Identification Number (IP PIN) by the IRS?  If yes, please provide the notice with your assigned IP PIN.  ",N/A,NOT REQUIERED
"Were you, your spouse or dependent/qualifying individual issued an Identity Protection Personal Identification Number (IP PIN) by the IRS?  If yes, please provide the notice with your assigned IP PIN.  ",Yes,TC.OTH
"Were you or your spouse the beneficiary of an estate, trust or ABLE account?",Yes,TC.SK1
"Were you or your spouse the beneficiary of an estate, trust or ABLE account?",N/A,NOT REQUIERED
"Were you or your spouse the beneficiary of an estate, trust or ABLE account?",No,NOT REQUIERED
Were you or your spouse required to take a minimum distribution (RMD) from your IRA(s) for the first time last year? Please provide a copy of Form(s) 1099-R,No,NOT REQUIERED
Were you or your spouse required to take a minimum distribution (RMD) from your IRA(s) for the first time last year? Please provide a copy of Form(s) 1099-R,Yes,TC.IRA
Were you or your spouse required to take a minimum distribution (RMD) from your IRA(s) for the first time last year? Please provide a copy of Form(s) 1099-R,N/A,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please upload copies of any notices received that have not already been provided to us.,Yes,TC.IRS
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please upload copies of any notices received that have not already been provided to us.,N/A,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please upload copies of any notices received that have not already been provided to us.,No,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please provide copies.,N/A,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please provide copies.,Yes,TC.IRS
Were you or your spouse notified or audited by the IRS or a State taxing agency? Please provide copies.,No,NOT REQUIERED
"Were you or your spouse notified or audited by the IRS or a State taxing agency? If yes, please upload all pages of any correspondence received by the taxing authorities and indicate whether the issue has been resolved. ",Yes,TC.IRS
"Were you or your spouse notified or audited by the IRS or a State taxing agency? If yes, please upload all pages of any correspondence received by the taxing authorities and indicate whether the issue has been resolved. ",N/A,NOT REQUIERED
"Were you or your spouse notified or audited by the IRS or a State taxing agency? If yes, please upload all pages of any correspondence received by the taxing authorities and indicate whether the issue has been resolved. ",No,NOT REQUIERED
"Were you or your spouse notified or audited by the IRS or a State taxing agency? IF YES, please upload a copy of the notice(s).  ",Yes,TC.IRS
"Were you or your spouse notified or audited by the IRS or a State taxing agency? IF YES, please upload a copy of the notice(s).  ",N/A,NOT REQUIERED
"Were you or your spouse notified or audited by the IRS or a State taxing agency? IF YES, please upload a copy of the notice(s).  ",No,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency?,N/A,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency?,Yes,TC.IRS
Were you or your spouse notified or audited by the IRS or a State taxing agency?,No,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency?,Yes,TC.IRS
Were you or your spouse notified or audited by the IRS or a State taxing agency?,No,NOT REQUIERED
Were you or your spouse notified or audited by the IRS or a State taxing agency?,Yes,TC.CPA
Were you or your spouse notified or audited by the IRS or a State taxing agency?,No,NOT REQUIERED
"Were you or your spouse notified or audited by the IRS or a state taxing agency or receive any communication from taxing authorities? If yes, please upload a copy of the communications or notices.",No,NOT REQUIERED
"Were you or your spouse notified or audited by the IRS or a state taxing agency or receive any communication from taxing authorities? If yes, please upload a copy of the communications or notices.",Yes,TC.OTH
"Were you or your spouse notified or audited by the IRS or a state taxing agency or receive any communication from taxing authorities? If yes, please upload a copy of the communications or notices.",N/A,NOT REQUIERED
Were you or your spouse notified of any changes or audited by the IRS or other taxing authority regarding prior year returns?,No,NOT REQUIERED
Were you or your spouse notified of any changes or audited by the IRS or other taxing authority regarding prior year returns?,Yes,TC.IRS
"Were you or your spouse notified of any changes in prior year tax returns, prior year tax refunds, or audited by the IRS or a State taxing agency?",N/A,NOT REQUIERED
"Were you or your spouse notified of any changes in prior year tax returns, prior year tax refunds, or audited by the IRS or a State taxing agency?",Yes,TC.IRS
"Were you or your spouse notified of any changes in prior year tax returns, prior year tax refunds, or audited by the IRS or a State taxing agency?",No,NOT REQUIERED
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,No,NOT REQUIERED
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,N/A,NOT REQUIERED
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,No,NOT REQUIERED
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,Yes,TC.CPA
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,Yes,TC.IRS
Were you or your spouse notified by the IRS or other taxing authority of any changes in prior year returns?,N/A,NOT REQUIERED
Were you or your spouse notified by the IRS or any other taxing authority of any changes in prior year returns?  ,No,NOT REQUIERED
Were you or your spouse notified by the IRS or any other taxing authority of any changes in prior year returns?  ,Yes,TC.IRS
Were you or your spouse issued an Identity Protection PIN from the IRS?,No,NOT REQUIERED
"Were you or your spouse if applicable assigned an Identity Protection PIN (IP PIN) by the IRS?  If so, the IRS provides the number via a letter sent in January of each year OR through your IRS online account.  .  This number changes ANNUALLY and the return cannot be electronically filed without  it.",N/A,NOT REQUIERED
"Were you or your spouse if applicable assigned an Identity Protection PIN (IP PIN) by the IRS?  If so, the IRS provides the number via a letter sent in January of each year OR through your IRS online account.  .  This number changes ANNUALLY and the return cannot be electronically filed without  it.",Yes,TC.CPA
"Were you or your spouse if applicable assigned an Identity Protection PIN (IP PIN) by the IRS?  If so, the IRS provides the number via a letter sent in January of each year OR through your IRS online account.  .  This number changes ANNUALLY and the return cannot be electronically filed without  it.",No,NOT REQUIERED
Were you notified or audited by the IRS or a State taxing agency?,No,NOT REQUIERED
Were you notified or audited by the IRS or a State taxing agency?,Yes,TC.IRS
"Were you married in 2023? (**If you got married, you may file jointly for 2023. PLEASE SUBMIT YOUR SPOUSE'S 2023 FORMS IN ADDITION TO YOURS & THEIR PRIOR YEAR 2022 TAX RETURN)",No,NOT REQUIERED
"Were you married in 2023? (**If you got married, you may file jointly for 2023. PLEASE SUBMIT YOUR SPOUSE'S 2023 FORMS IN ADDITION TO YOURS & THEIR PRIOR YEAR 2022 TAX RETURN)",Yes,TC.OTH
"Were you married in 2023? (**If you got married, you may file jointly for 2023. PLEASE SUBMIT YOUR SPOUSE'S 2023 FORMS IN ADDITION TO YOURS & THEIR PRIOR YEAR 2022 TAX RETURN)",N/A,NOT REQUIERED
Were you employed in 2023 and expect to receive a W2 from your employer?,No,NOT REQUIERED
Were you employed in 2023 and expect to receive a W2 from your employer?,N/A,NOT REQUIERED
Were you employed in 2023 and expect to receive a W2 from your employer?,Yes,TC.WAG
Were you eligible for employer-sponsored healthcare coverage?,Yes,TC.95C
Were you eligible for employer-sponsored healthcare coverage?,N/A,NOT REQUIERED
Were you eligible for employer-sponsored healthcare coverage?,No,NOT REQUIERED
Were you eligible for employer sponsored healthcare coverage?,Yes,TC.95C
Were you eligible for employer sponsored healthcare coverage?,No,NOT REQUIERED
Were you eligible for employer sponsored healthcare coverage?,N/A,NOT REQUIERED
Were you an owner of an S-Corporation or Partnership this year?,N/A,NOT REQUIERED
Were you an owner of an S-Corporation or Partnership this year?,No,NOT REQUIERED
Were you an owner of an S-Corporation or Partnership this year?,Yes,TC.SK1
Were you a policyholder who received payments under a log-term care (LTC) insurance contract or received any accelerated death benefits from a life insuarnace policy?,No,NOT REQUIERED
Were you (and/or your spouse) issued an Identity Protection PIN (IP PIN) by the IRS?,Yes,TC.CPA
Were you (and/or your spouse) issued an Identity Protection PIN (IP PIN) by the IRS?,N/A,NOT REQUIERED
Were you (and/or your spouse) issued an Identity Protection PIN (IP PIN) by the IRS?,No,NOT REQUIERED
Were you (and/or your spouse) issued an Identity Protection PIN (IP PIN) by the IRS?,No,NOT REQUIERED
Were you (and/or your spouse) issued an Identity Protection PIN (IP PIN) by the IRS?,Yes,TC.OTH
Were you (and/or your spouse) issued an Identity Protection PIN (IP PIN) by the IRS?,N/A,NOT REQUIERED
"Were any withdrawals due to a Federally declared disaster? If yes, a request to upload the document will appear in the ""Documents"" section of TaxCaddy.",N/A,NOT REQUIERED
"Were any withdrawals due to a Federally declared disaster? If yes, a request to upload the document will appear in the ""Documents"" section of TaxCaddy.",No,NOT REQUIERED
Were any withdrawals due to a Federally declared disaster?,No,NOT REQUIERED
Were all the amounts withdrawn used for qualified education expenses?,Yes,TC.Q99
Were all distributions for qualified medical expenses? Please upload 1099-SA. ,Yes,TC.HSA
"Was your 2020 or 2021 PPP loan forgiven in 2023? Or do you expect it to be forgiven? (Please answer ""No"" if your loan was forgiven prior to 2023.)",Yes,TC.CPA
"Was your 2020 or 2021 PPP loan forgiven in 2023? Or do you expect it to be forgiven? (Please answer ""No"" if your loan was forgiven prior to 2023.)",N/A,NOT REQUIERED
"Was your 2020 or 2021 PPP loan forgiven in 2023? Or do you expect it to be forgiven? (Please answer ""No"" if your loan was forgiven prior to 2023.)",No,NOT REQUIERED
Was this the first year you took a distribution from a Health Savings Account (HSA)?,Yes,TC.HSA
Was this the first year you took a distribution from a Health Savings Account (HSA)?,No,NOT REQUIERED
Was there any distributions from a 529 College Savings Plan or an Educational Savings Account (need Form 1099-Q)?,No,NOT REQUIERED
